seed,dimension,var_A,M,time,solution,dual_gap,rel_dual_gap,termination,ncalls
2,20,1,0.1,0.608,0.6316904518198226,7.750272934536895e-8,1.2269100891264248e-7,OPTIMAL,36
2,20,5,0.1,0.926,0.28781135302743394,6.350737130622619e-8,2.2065628979366095e-7,OPTIMAL,65
2,20,1,1.0,1.718,0.6316904518198037,1.8617242013574398e-6,2.9472183454757016e-6,OPTIMAL,67
2,20,5,1.0,1.829,0.28781135302743166,7.918871716694476e-7,2.751418045717696e-6,OPTIMAL,93
3,20,1,0.1,0.665,0.599501076904778,5.9269315344501194e-8,9.886441157059212e-8,OPTIMAL,44
3,20,5,0.1,0.851,0.21857209854026086,5.158066002097783e-8,2.3598928014116828e-7,OPTIMAL,41
3,20,1,1.0,1.334,0.5995010769047638,8.480933821886083e-7,1.414667320261258e-6,OPTIMAL,62
3,20,5,1.0,1.978,0.21857209854026025,8.445312467131316e-7,3.863871534901403e-6,OPTIMAL,118
4,20,1,0.1,0.548,0.5951193348725643,7.518862965572026e-8,1.2634212123407437e-7,OPTIMAL,25
4,20,5,0.1,0.951,0.21327897875334223,7.028254250807109e-8,3.29533487450746e-7,OPTIMAL,43
4,20,1,1.0,1.481,0.5951193348725308,3.598306789198702e-7,6.046365416168507e-7,OPTIMAL,83
4,20,5,1.0,2.082,0.2132789787533224,1.0002222902150137e-6,4.6897588635456814e-6,OPTIMAL,121
5,20,1,0.1,0.527,0.6388250326770397,9.970541603454564e-8,1.5607627518660813e-7,OPTIMAL,38
5,20,5,0.1,0.864,0.29840951132071325,8.487399416612362e-8,2.8442129049592156e-7,OPTIMAL,59
5,20,1,1.0,1.461,0.6388250326770434,7.236070834748531e-7,1.132716888197829e-6,OPTIMAL,88
5,20,5,1.0,2.234,0.2984095113206955,6.910974163498729e-7,2.3159416529068123e-6,OPTIMAL,168
1,25,1,0.1,0.762,0.6283369552158625,9.226848185495129e-8,1.468455653264421e-7,OPTIMAL,26
1,25,5,0.1,1.429,0.28047393057117703,5.27904446268046e-8,1.8821875692849683e-7,OPTIMAL,71
1,25,1,1.0,2.42,0.6283369552158413,1.2505820551345082e-6,1.990308756786926e-6,OPTIMAL,79
1,25,5,1.0,3.519,0.28047393057117664,1.168288577768628e-6,4.165426147839209e-6,OPTIMAL,180
2,25,1,0.1,2.193,0.6216814003390536,0.004272352717119232,0.006919809052969003,OPTIMAL,65
2,25,5,0.1,1.298,0.2610649758897774,5.66994712292157e-8,2.1718533231147766e-7,OPTIMAL,47
2,25,1,1.0,2.497,0.6216814003390412,1.575328592462455e-6,2.5339869963384736e-6,OPTIMAL,87
2,25,5,1.0,3.381,0.2610649758897734,1.011568367681459e-6,3.874791261639155e-6,OPTIMAL,138
3,25,1,0.1,1.015,0.5837527067565903,6.678408870364194e-8,1.1440477375277976e-7,OPTIMAL,51
3,25,5,0.1,1.565,0.20009330348062931,7.402745413886969e-8,3.699648126084807e-7,OPTIMAL,112
3,25,1,1.0,2.511,0.5837527067565774,1.225034837681882e-6,2.098555423052145e-6,OPTIMAL,89
3,25,5,1.0,3.313,0.2000933034806196,1.0393521375495762e-6,5.194364420216634e-6,OPTIMAL,133
4,25,1,0.1,1.081,0.5080470573089259,8.885673341563205e-8,1.748986588510537e-7,OPTIMAL,43
4,25,5,0.1,1.482,0.13245498993630153,5.612156753209696e-8,4.237031110565858e-7,OPTIMAL,40
4,25,1,1.0,2.663,0.508047057308717,5.456734079034575e-7,1.074061912455681e-6,OPTIMAL,109
4,25,5,1.0,4.182,0.13245498993626137,6.358014359997277e-7,4.800155043242633e-6,OPTIMAL,227
5,25,1,0.1,0.711,0.6510675370546308,8.631587344876124e-8,1.325759310357472e-7,OPTIMAL,34
5,25,5,0.1,1.321,0.33638580617316305,5.944534553492531e-8,1.7671778936289116e-7,OPTIMAL,48
5,25,1,1.0,2.278,0.6510675370546308,9.632532196324206e-7,1.4795003435796611e-6,OPTIMAL,65
5,25,5,1.0,2.867,0.33638580617319075,1.6544404558005432e-6,4.9183067849017894e-6,OPTIMAL,104
1,30,1,0.1,1.104,0.6076661618868189,5.830279303786767e-8,9.594544223216784e-8,OPTIMAL,30
1,30,5,0.1,2.131,0.2398826842914039,7.991775358151543e-8,3.3315360148847006e-7,OPTIMAL,101
1,30,1,1.0,3.399,0.6076661618868281,1.3353562603457547e-6,2.1975210709000637e-6,OPTIMAL,89
1,30,5,1.0,4.715,0.2398826842914064,1.8048266455239492e-6,7.52384537505034e-6,OPTIMAL,128
2,30,1,0.1,1.431,0.5959194794628975,5.4013668315811e-8,9.063921397610629e-8,OPTIMAL,53
2,30,5,0.1,40.016,0.2118482934911486,5.5568379037085336e-8,2.6230276721651607e-7,OPTIMAL,46
2,30,1,1.0,3.48,0.5959194794629079,1.63420670773462e-6,2.7423355765290655e-6,OPTIMAL,96
2,30,5,1.0,4.781,0.2118482934911524,1.1244219649542142e-6,5.307703519922835e-6,OPTIMAL,193
3,30,1,0.1,1.375,0.5568540988762791,5.599166086334151e-8,1.0054997638751657e-7,OPTIMAL,45
3,30,5,0.1,1.862,0.17200659056902992,6.354205814296243e-8,3.694165520416479e-7,OPTIMAL,52
3,30,1,1.0,3.408,0.5568540988762715,1.204428923595735e-6,2.1629211872752823e-6,OPTIMAL,84
3,30,5,1.0,5.25,0.17200659056902218,6.166047629152516e-7,3.584786904223306e-6,OPTIMAL,206
4,30,1,0.1,2.827,0.6359632609005215,7.298280624290499e-8,1.1475948235599439e-7,OPTIMAL,42
4,30,5,0.1,45.432,0.29679736868784945,9.998880562411827e-8,3.3689260707283724e-7,OPTIMAL,64
4,30,1,1.0,3.318,0.635963260900529,1.1382875372278889e-6,1.7898668753273882e-6,OPTIMAL,73
4,30,5,1.0,4.294,0.2967973686878499,1.0354801713852169e-6,3.4888576964347338e-6,OPTIMAL,108
5,30,1,0.1,1.274,0.6424555606917902,0.004813015944485133,0.007548141171151793,OPTIMAL,63
5,30,5,0.1,1.538,0.30965804699797733,7.654231520826116e-8,2.471834169022972e-7,OPTIMAL,57
5,30,1,1.0,2.441,0.6424555606917853,2.411440244265428e-6,3.753488090259593e-6,OPTIMAL,80
5,30,5,1.0,3.919,0.30965804699799016,1.4175370345870242e-6,4.577770665057764e-6,OPTIMAL,215
