seed,n0,m0,M,time,solution,termination,ncalls
1,20,200,20.0,1801.063,13.190303721195482,Time limit reached,51450
2,20,200,20.0,1802.257,14.310207877786883,Time limit reached,48196
3,20,200,20.0,1802.054,8.525255401082173,Time limit reached,53768
1,5,50,20.0,8.44,3.7832568240600732,OPTIMAL,474
2,5,50,20.0,8.327,5.452331495095906,OPTIMAL,418
3,5,50,20.0,12.44,2.951593366334075,OPTIMAL,2481
4,5,50,20.0,8.557,2.7602201258493935,OPTIMAL,1380
5,5,50,20.0,5.756,2.7548417925382047,OPTIMAL,314
6,5,50,20.0,8.326,1.893835835268943,OPTIMAL,500
7,5,50,20.0,7.534,1.7685158153348035,OPTIMAL,497
8,5,50,20.0,0.73,6.916214432417929,OPTIMAL,40
9,5,50,20.0,7.523,1.1585655366644907,OPTIMAL,367
10,5,50,20.0,9.349,4.333125343194689,OPTIMAL,715
1,6,60,20.0,31.37,5.461964724448867,OPTIMAL,2698
2,6,60,20.0,17.175,3.0776066095288166,primal>=tree.incumbent,677
3,6,60,20.0,9.087,2.8841788118660294,OPTIMAL,562
4,6,60,20.0,18.209,3.7350558456147525,OPTIMAL,807
5,6,60,20.0,14.545,4.631797846437221,OPTIMAL,1275
6,6,60,20.0,20.903,2.306592758527604,OPTIMAL,1543
7,6,60,20.0,10.923,1.7454602042502534,OPTIMAL,561
8,6,60,20.0,2.351,6.832690229537796,OPTIMAL,114
9,6,60,20.0,13.306,0.5525107537770229,OPTIMAL,638
10,6,60,20.0,34.222,5.5861213250197,primal>=tree.incumbent,1612
1,7,70,20.0,30.931,5.1397486550323315,OPTIMAL,1759
2,7,70,20.0,25.316,3.2852063967497984,OPTIMAL,1373
3,7,70,20.0,21.913,1.1118923174421853,primal>=tree.incumbent,1963
4,7,70,20.0,56.93,1.867836113108724,primal>=tree.incumbent,2667
5,7,70,20.0,14.304,3.1735550613410988,OPTIMAL,731
6,7,70,20.0,82.449,2.4845738168464586,OPTIMAL,13769
7,7,70,20.0,41.625,2.348833627849078,primal>=tree.incumbent,1964
8,7,70,20.0,10.688,6.603938710846737,OPTIMAL,554
9,7,70,20.0,21.004,-0.046142894128506584,OPTIMAL,1088
10,7,70,20.0,46.239,5.258227273087522,primal>=tree.incumbent,2638
1,8,80,20.0,29.563,5.842870044921049,OPTIMAL,1599
2,8,80,20.0,79.088,4.645003041574103,primal>=tree.incumbent,3194
3,8,80,20.0,66.323,1.48967290231089,primal>=tree.incumbent,2912
4,8,80,20.0,49.564,3.1520256573765897,OPTIMAL,2513
5,8,80,20.0,95.662,4.0898085506170485,primal>=tree.incumbent,4602
6,8,80,20.0,44.407,4.0868822213326,primal>=tree.incumbent,2471
7,8,80,20.0,104.762,2.345266615695367,primal>=tree.incumbent,12034
8,8,80,20.0,8.897,7.659986167234461,OPTIMAL,520
9,8,80,20.0,50.748,-0.592594089773631,primal>=tree.incumbent,2791
10,8,80,20.0,41.845,5.541656049536443,OPTIMAL,2408
1,9,90,20.0,576.582,4.3054847030438435,primal>=tree.incumbent,38262
2,9,90,20.0,450.935,5.187273323440387,primal>=tree.incumbent,20502
3,9,90,20.0,96.98,1.0108014926070252,primal>=tree.incumbent,4702
4,9,90,20.0,84.483,2.3463650881426505,OPTIMAL,5232
5,9,90,20.0,214.932,3.5005488953510326,OPTIMAL,14087
6,9,90,20.0,171.991,3.871318854067899,OPTIMAL,5470
7,9,90,20.0,134.026,1.0835983732654078,primal>=tree.incumbent,5776
8,9,90,20.0,17.578,9.60109131470087,primal>=tree.incumbent,787
9,9,90,20.0,223.506,-0.1672865197301422,OPTIMAL,8454
10,9,90,20.0,271.511,6.121167776427199,OPTIMAL,20760
1,10,100,20.0,479.758,5.82481721638951,primal>=tree.incumbent,20957
2,10,100,20.0,699.275,5.8364100657708065,OPTIMAL,26232
3,10,100,20.0,371.163,2.1514490341231096,primal>=tree.incumbent,15316
4,10,100,20.0,373.064,1.8355567286570873,OPTIMAL,18490
5,10,100,20.0,730.148,3.7832770001891403,OPTIMAL,28707
6,10,100,20.0,360.129,4.090297632852157,primal>=tree.incumbent,16446
7,10,100,20.0,269.965,1.5345277407712876,primal>=tree.incumbent,12838
8,10,100,20.0,52.237,9.411310958321579,primal>=tree.incumbent,2412
9,10,100,20.0,151.695,-0.5486771441142742,OPTIMAL,7607
10,10,100,20.0,823.082,7.2211767081580485,primal>=tree.incumbent,42031
1,11,110,20.0,1643.025,5.753685044333418,primal>=tree.incumbent,68409
2,11,110,20.0,1801.31,5.996943926661551,Time limit reached,72854
3,11,110,20.0,850.538,1.8447204444175198,OPTIMAL,39040
4,11,110,20.0,924.046,1.2389659148926715,primal>=tree.incumbent,36901
5,11,110,20.0,388.248,3.8819685611384855,OPTIMAL,17612
6,11,110,20.0,1801.311,5.038005007045426,Time limit reached,69172
7,11,110,20.0,388.523,1.1842306595999688,primal>=tree.incumbent,18329
8,11,110,20.0,204.021,10.469623258206262,primal>=tree.incumbent,8412
9,11,110,20.0,268.172,0.6362265437186527,OPTIMAL,13647
10,11,110,20.0,913.213,8.026147110434103,OPTIMAL,44164
1,12,120,20.0,1801.176,7.1601347161614175,Time limit reached,68945
2,12,120,20.0,1800.659,6.836777116236918,Time limit reached,81757
3,12,120,20.0,784.352,0.4357208568313231,primal>=tree.incumbent,34857
4,12,120,20.0,1141.942,1.3842385431949251,primal>=tree.incumbent,51118
5,12,120,20.0,1800.97,3.9831648052009014,Time limit reached,65568
6,12,120,20.0,1800.241,4.99599020487091,Time limit reached,63522
7,12,120,20.0,1801.031,0.701673035019751,Time limit reached,66726
8,12,120,20.0,28.907,11.15681638987772,OPTIMAL,1279
9,12,120,20.0,1728.05,-0.14020270669255475,primal>=tree.incumbent,70320
10,12,120,20.0,1801.329,7.853673302505733,Time limit reached,66019
1,13,130,20.0,1801.19,8.67941104243813,Time limit reached,69016
2,13,130,20.0,1800.19,8.535942754952991,Time limit reached,66835
3,13,130,20.0,1800.373,1.401427442615835,Time limit reached,65909
4,13,130,20.0,1801.474,3.0823679147567944,Time limit reached,69874
5,13,130,20.0,1800.659,4.868738749908219,Time limit reached,63894
6,13,130,20.0,1800.764,5.0474901488912005,Time limit reached,70262
7,13,130,20.0,1801.16,0.9456093372098738,Time limit reached,70950
8,13,130,20.0,719.266,12.373232535118694,primal>=tree.incumbent,31208
9,13,130,20.0,1800.861,0.9206201265030491,Time limit reached,62060
10,13,130,20.0,1801.424,8.973368238830323,Time limit reached,63676
1,14,140,20.0,1801.119,8.343075149856174,Time limit reached,57676
2,14,140,20.0,1800.583,8.74835094368565,Time limit reached,60119
3,14,140,20.0,1800.198,3.7789993989764095,Time limit reached,57337
4,14,140,20.0,1800.343,4.472857784567985,Time limit reached,65851
5,14,140,20.0,1800.198,5.736489559230651,Time limit reached,68109
6,14,140,20.0,1801.73,6.6009743528475555,Time limit reached,54330
7,14,140,20.0,1801.492,4.118297033890544,Time limit reached,54287
8,14,140,20.0,1801.228,13.155206290162035,Time limit reached,61951
9,14,140,20.0,1801.552,3.1010100008433605,Time limit reached,55284
10,14,140,20.0,1801.558,9.7927586139547,Time limit reached,56901
1,15,150,20.0,1800.532,9.833231798541783,Time limit reached,56535
2,15,150,20.0,1800.831,10.091120440075798,Time limit reached,59675
3,15,150,20.0,1800.516,5.287824317884955,Time limit reached,57304
4,15,150,20.0,1800.832,5.060203969882341,Time limit reached,63903
5,15,150,20.0,1801.373,4.798563942150163,Time limit reached,57791
6,15,150,20.0,1801.341,7.099470200174928,Time limit reached,55732
7,15,150,20.0,1800.455,4.000502488354661,Time limit reached,57298
8,15,150,20.0,1801.502,13.175005874489196,Time limit reached,58264
9,15,150,20.0,1800.727,3.0337521184497236,Time limit reached,58403
10,15,150,20.0,1800.628,10.302097457571445,Time limit reached,68501
